FarClauseGuid,Number,Title,Paragraph,UpdatedBy,IsDeleted
CB2D0204-293D-49FF-A60F-0032BA7DA116,52.243-2,Changes—Cost Reimbursement.-Alternate IV,43.205(b)(5),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
160B53A5-35CE-4D89-8AAC-00335CE17C38,52.237-9,Waiver of Limitation on Severance Payments to Foreign Nationals.,37.113-2(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
D70036AA-7643-4774-BA0B-00D05BAA5618,52.216-11,Cost Contract—No Fee.,16.307(e)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
81F2799A-3DF6-4E4D-811F-00D397CC105A,52.226-4,Notice of Disaster or Emergency Area Set-Aside.,26.203(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
F4E675ED-3D38-4079-92A2-015FA262C235,52.216-21,Requirements.-Alternate III,16.506(d)(4),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
B6EFF4CA-827F-4172-917C-02240177B6C4,52.219-10,Incentive Subcontracting Program.,19.708(c)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
EE46B2DB-2F86-4CF7-A388-02C2E0DA4A73,52.203-6,Restrictions on Subcontractor Sales to the Government.-Alternate I,3.503-2,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
8F1C449B-F740-4495-B74E-02CA00E8E258,52.247-67,Submission of Transportation Documents for Audit. 3,47.103-2 3,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
D65E7E5E-4F92-4C93-AA02-02FD3C6EC88F,52.247-57,Transportation Transit Privilege Credits.,47.305-13(b)(4),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
F779B19B-0349-4E92-B1A3-03A9CA9AF58E,52.225-10,Notice of Buy American Act Requirement—Construction Materials.-Alternate I,25.110(b)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
8F7F6D4D-51E1-4A6C-A1CC-03BDE24CCC6F,52.222-26,Equal Opportunity.,22.810(e),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
F62260B0-B0FC-404C-896B-03EC60389F9D,52.243-5,Changes and Changed Conditions.,43.205(e),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
AD27F5F1-642E-443D-B5A1-044DBEF840F4,52.212-2,Evaluation—Commercial Items.,12.301(c)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
348BECE6-0C3F-46C1-9F8F-0492AC382EC0,52.216-28,Multiple Awards for Advisory and Assistance Services.,16.506(g),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
1904BB00-CD9D-4EDE-93FE-04AEB62AA76F,52.227-20,Rights in Data—SBIR Program.,27.409(l),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
7FFA856C-2351-47C3-806D-05C2B4AEDFD1,52.247-8,Estimated Weights or Quantities Not Guaranteed.,47.207-3(e)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
606694E9-545E-486A-8F57-0666A3EB3A85,52.248-3,Value Engineering—Construction.,48.202,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
8ED0A3F4-75AB-4DFC-8F28-06AC0AAF7152,52.232-33,Payment by Electronic Funds Transfer—Central Contractor Registration.,"32.1110(a), (a)(1), (b), and (e)(1)",73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
A6A8A709-8082-4058-84A5-06B62D65E696,52.236-21,Specifications and Drawings for Construction.-Alternate II,36.521,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
2FAFCC78-0008-4C10-A304-06EF85768474,52.246-12,Inspection of Construction.,46.312,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
E80D889C-C82F-4374-A392-0721952C8A56,52.209-5,"Certification Regarding Debarment, Suspension, Proposed Debarment, and Other Responsibility Matters.",9.409(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
33AC57C3-9D78-41DD-9DB1-07742B117A12,52.232-17,Interest.,32.617(a) and (b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
535FEDFD-3982-48DA-B86F-07C411A5C6D9,52.236-5,Material and Workmanship.,36.505,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
82BF9BE2-127C-4573-863A-085BE33EA883,52.249-5,Termination for Convenience of the Government (Educational and Other Nonprofit Institutions).,49.502(d),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
875C2DD3-21B5-46C5-A449-08A1E79DD3ED,52.222-43,Fair Labor Standards Act and Service Contract Act—Price Adjustment (Multiple Year and Option Contracts).,22.1006(c)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
657295F0-2422-41AE-B4F8-09403838B20B,52.232-31,Invitation to Propose Financing Terms.,32.205(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
29E71690-FE4D-426A-B01A-09530C9D516C,52.229-9,Taxes—Cost-Reimbursement Contracts with Foreign Governments.,29.402-2(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
15FF75C0-D93D-4508-BD2B-0965E48E3017,52.209-4,First Article Approval—Government Testing.,9.308-2(a)(1) and (b)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
FE1E291E-2C23-4F27-AC8C-0A11739D5026,52.224-1,Privacy Act Notification.,24.104(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
2F493685-F23A-4F98-A16B-0A5512708EA7,52.211-12,Liquidated Damages—Construction.,11.503(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
C5CE15D4-7B31-408C-8316-0A6056F3A595,52.248-2,Value Engineering Program—Architect-Engineer.,48.201(f),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
34EE850B-36F2-4880-9131-0AD3F6837C05,52.247-46,Shipping Point(s) Used in Evaluation of F.o.b. Origin Offers.,47.305-3(b)(4)(ii),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
15D9BF66-FC37-446E-8556-0B605C036DD3,52.222-4,Contract Work Hours and Safety Standards Act—Overtime Compensation.,22.305,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
25A8354F-49CC-4CD1-AA83-0BF441E0DAA7,52.219-6,Notice of Total Small Business Set-Aside.-Alternate I,19.508(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
6E843837-356B-49D7-B282-0C7172B04FF3,52.214-20,Bid Samples.-Alternate II,14.201-6(o)(2)(ii),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
5D416700-A373-4C22-AD5C-0CBC7F7B610D,52.219-12,Special 8(a) Subcontract Conditions. (See Note 2.),19.811-3(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
8291FBE4-CC21-4020-9365-0D734DBA1584,52.216-12,Cost-Sharing Contract—No Fee.,16.307(f)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
FCCDD1B7-F5E5-49E8-9607-0DEB8B208ACC,52.211-7,Alternatives to Government-Unique Standards.,11.107(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
D983F63D-E080-42BA-AE6F-0F1CCE8DAEE9,52.243-2,Changes—Cost Reimbursement.-Alternate V,43.205(b)(6),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
82A3FA4D-A690-46CF-A820-0F32D7711398,52.237-2,"Protection of Government Buildings, Equipment, and Vegetation.",37.110(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
1C84C624-6167-49E4-8572-0FAB4F01A5F3,52.227-13,Patent Rights—Acquisition by the Government.-Alternate I,27.303(c)(3),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
