FarContractTypeClauseGuid,FarContractTypeGuid,FarClauseGuid,FarContractTypeCode,IsRequired,IsApplicable,IsOptional,UpdatedBy,IsDeleted
882F5990-D8F4-4E73-ADB1-0000FF3E4062,72A05099-7160-46C9-AA87-9853155A2036,CFD351B8-43D1-408E-8956-F7808537849B,CI,0,0,0,,0
FF9621C1-A895-47F1-A9F0-0001D9BC3ED8,5EB13DF3-D95F-4387-B5FC-DE36988D1A69,15FF75C0-D93D-4508-BD2B-0965E48E3017,TRN,0,0,0,,0
7C339B0C-1A3A-4CB8-8298-00061A2C8F7A,11912F53-9F3E-4851-AC27-2C011D890D8F,1AC61790-383C-4ADE-A549-73EA9662C072,SAP,0,0,0,,0
C4ABEE84-E5C3-4F14-8F02-0007C19FE713,E93946C8-053F-4C09-8915-CF54B870408F,E6D3BC38-FC1A-4C82-8645-A742EF2B4206,FPCON,0,1,0,,0
943E7A5B-6EF5-426E-BA58-0009F74B0A47,E3F79B77-51D8-4FAC-BAE2-C80BB8D820C0,E97C62CF-EDA4-4031-9945-9A77F2E9F1E6,FPSUP,0,0,0,,0
BDCC11F1-50CE-4CAF-BC37-0015DD86FC93,C5EBA41C-27CF-41DD-B2A7-FB94F0AB9841,810BC0AE-675F-4CA7-B5A7-5A68083B7779,CRSVC,0,0,0,,0
EEBE6271-9734-4622-96B7-001EE3AC0915,5AD35CAE-1A03-44AB-9E97-A1B28B7E0356,A3F42DA8-B023-4CF1-82CF-CCE4F88B64ED,COMSVC,0,0,0,,0
1D6C8489-1152-4029-B1F2-0021272641D1,1158E721-8AB4-41F3-8A19-DFD0D6929D68,509B3FC0-24EF-434F-9E70-E5908BA84F08,FAC,0,0,1,,0
21212301-3ABE-4B7E-A1A6-00234842266F,717CED03-1C84-44B5-BBBC-9F84CCEA5ED9,488301F1-5284-4E9F-B365-718B7CCB0891,OTHER,0,0,1,,0
A52CE13E-E32B-482B-AF8D-0032A8F4BCFF,717CED03-1C84-44B5-BBBC-9F84CCEA5ED9,90149C2F-C99F-4894-BBCF-CBF70F83ACBA,OTHER,0,0,1,,0
DCAD5A3D-3C7B-44A1-BD41-003363D58C57,EA060E5D-C55E-43BC-A646-E989501D72BB,866A9EC7-D4A7-476F-BB69-C396DAEA43B5,CRR&D,0,1,0,,0
