FolderStructureFolderGuid,FolderStructureMasterGuid,ParentGuid,Name,Description,Keys,CreatedBy,CreatedOn,ResourceType
18897EB3-ECB5-4904-B990-027AE095FCFC,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,,Deliverables & Reporting,,Deliverables,920EA36E-911C-4345-8BE5-29C190C8E5C5,10/17/2019,Contract
FB4DA3B8-A25A-4EEE-98E1-0ADBDC95AF19,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,,Contract Modification,,ContractModification,920EA36E-911C-4345-8BE5-29C190C8E5C6,10/18/2019,Contract
33C4D44D-3DE5-4D3E-A31B-0E22D2B28747,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,69F993C5-B60A-4B89-B9A5-FF80C4559AD8,Register,,Register,920EA36E-911C-4345-8BE5-29C190C8E5C7,10/19/2019,Contract
21E52F7A-C1A6-44EE-A919-1E3751760D9E,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-42F4-8646-88CD857D3C89,Change Proposals,,ChangeProposals,920EA36E-911C-4345-8BE5-29C190C8E5C8,10/20/2019,Contract
437C4D0F-2CBC-450E-80AA-26F1E40B2DEA,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,69F993C5-B60A-4B89-B9A5-FF80C4559AD8,Formal,,Formal,920EA36E-911C-4345-8BE5-29C190C8E5C9,10/21/2019,Contract
A4AC0901-9D1B-43C3-A8B3-2E6734D35964,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,57B1430A-F009-400A-9856-7EC6B2880CE5,Special Instructions,,SpecialInstructions,920EA36E-911C-4345-8BE5-29C190C8E5C10,10/22/2019,Contract
188E1BF4-EC81-4E57-9A12-2E803CC53BF4,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Labor Category Rates,,LaborCategoryRates,920EA36E-911C-4345-8BE5-29C190C8E5C11,10/23/2019,Contract
D38C2A67-7C56-4F92-9286-31D843B5F4E4,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,,Miscellaneous,,Miscallenous,920EA36E-911C-4345-8BE5-29C190C8E5C12,10/24/2019,Contract
53020D50-4718-4206-A2D9-41E4CDE18520,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,437C4D0F-2CBC-450E-80AA-26F1E40B2DEA,From,,From,920EA36E-911C-4345-8BE5-29C190C8E5C13,10/25/2019,Contract
043766C7-921F-4CFB-A562-4B4183FBE665,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,ECD188A3-0178-4212-9909-922AAAF4BE37,Internal,,Internal,920EA36E-911C-4345-8BE5-29C190C8E5C14,10/26/2019,Contract
BA845FF7-79EF-4026-97A3-4BC2531D7040,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Employee Billing Rates,,EmployeeBillingRates,920EA36E-911C-4345-8BE5-29C190C8E5C15,10/27/2019,Contract
95781947-40E8-42D0-9DA8-4E9EDF84911D,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Work BreakDown Structure,,WorkBreakDownStructure,920EA36E-911C-4345-8BE5-29C190C8E5C16,10/28/2019,Contract
