NAICSGuid,Code,Title
{DE958250-106A-4DDA-A8E5-003A78BD1B51},515120,Television Broadcasting
{4AF320D1-ACF5-432A-AA97-005B060B6377},541513,Computer Facilities Management Services
{BF6F7F0D-BE41-4885-A07F-007EF13482CA},238140,Masonry Contractors
{708D9F85-5A3A-4F85-B97D-00800EAD2205},56144,Collection Agencies
{297DFB75-67D2-4FCB-8CC8-008A79FB028E},332911,Industrial Valve Manufacturing
{6B39F5F8-1A50-4F3E-AD27-00978BD15C73},334118,Computer Terminal and Other Computer Peripheral Eq
{064D41D5-34D9-4D0E-8E7E-00CCAF14F7AE},311821,Cookie and Cracker Manufacturing
{309F0C7D-2B13-4597-86BB-00E101E0028A},42452,Livestock Merchant Wholesalers
{6B1A457F-11F9-4580-BA0F-0134A549143D},45114,Musical Instrument and Supplies Stores
{33BC6638-08D5-4248-A73F-0135A2C6E6A2},333924,"Industrial Truck, Tractor, Trailer, and Stacker Ma"
{453F0D9C-C221-4E3E-BBA4-019101F468DD},334112,Computer Storage Device Manufacturing
{51348B1D-B26D-4CB0-85D2-01E4FFC499D2},332312,Fabricated Structural Metal Manufacturing
{BE3DC94F-E9BB-4FA6-9950-01F143C885BE},332112,Nonferrous Forging
{B1FC878F-9D67-4303-8C98-021386BCB7C6},2122,Metal Ore Mining
{BCED5579-85A0-4063-A831-021FB0C36BD6},54192,Photographic Services
{6AFD27CA-1F4A-4AB9-BC2A-02332C774E3C},31521,Cut and Sew Apparel Contractors
{2AEC9527-3216-467E-A772-029D879739C9},541330,Engineering Services
{7D3EFC93-3C13-45C7-9734-029E1A8E98D7},2361,Residential Building Construction
{2AF7B71E-256D-4493-AD81-02C1E794B696},42393,Recyclable Material Merchant Wholesalers
{57AEE477-6025-41A1-B287-02C2A299525F},3379,Other Furniture Related Product Manufacturing
{059C250D-1CFB-489E-9FFD-02C4D3335B05},324121,Asphalt Paving Mixture and Block Manufacturing
{BA13FB20-DA34-4E4D-8157-02FEC952C25D},54112,Offices of Notaries
{042DED28-A97E-4524-80C9-031FE48F4CD2},6241,Individual and Family Services
{92C47ED7-8966-4D8C-8CB2-0333C877676E},333515,Cutting Tool and Machine Tool Accessory Manufactur
{5D16ABB1-0503-48EA-9641-0344C48CA96B},5322,Consumer Goods Rental
{5BEA4F5F-47D5-411A-8DC5-034670983A69},71212,Historical Sites
{6FCE8FB7-93D9-4A30-83A6-038420842997},32614,Polystyrene Foam Product Manufacturing
{D13AD78E-F19F-4126-89AB-03AFC4F07EC2},811192,Car Washes
{79221EA6-6088-4555-80A8-03FB1F0B0489},441222,Boat Dealers
{9BC16426-1B3C-43F1-B211-040E3F3E9923},311911,Roasted Nuts and Peanut Butter Manufacturing
{D6810D63-736F-4504-8856-04208CA542D1},5331,Lessors of Nonfinancial Intangible Assets (except
{26521103-DAA7-4135-9BBD-04256F8705E1},33635,Motor Vehicle Transmission and Power Train Parts M
{562EF514-4324-4946-AFD8-04336644470C},8132,Grantmaking and Giving Services
{5371D4BF-C3E3-4A0D-A6E0-047C49540F13},115112,"Soil Preparation, Planting, and Cultivating"
{3B53ADA1-6C03-4C10-9029-0483928EE55E},51225,Record Production and Distribution
{C1818F18-9C0F-422A-B9F1-04A07F35DBDA},332216,Saw Blade and Handtool Manufacturing
{C16A286E-A9D4-467B-A915-04C1E590C716},442,Furniture and Home Furnishings Stores
{7CD7CB78-9892-4F52-894F-04D9F0AE9BE3},32221,Paperboard Container Manufacturing
{BA99858A-16E8-4DA0-9BC0-04DEB0B0E690},33621,Motor Vehicle Body and Trailer Manufacturing
{11A07691-546E-4098-8975-04E38488A3C2},493190,Other Warehousing and Storage
{CD027B22-2716-457E-BDF6-04FDCAEFF215},31161,Animal Slaughtering and Processing
{FB29F287-2490-4740-8E44-0509FAC5B0B7},311512,Creamery Butter Manufacturing
{38AFAECA-AFC4-48EE-986F-05400EAF1A8D},22,Utilities
{8E6ED8B1-AE0A-425B-A2CE-0575168949FE},333314,Optical Instrument and Lens Manufacturing
{E2581959-8134-42EA-9544-057B36F36219},54199,"All Other Professional, Scientific, and Technical"
{04EB653A-C445-4FB2-AA15-05861488E15F},3119,Other Food Manufacturing
{F1EE8367-3525-4980-8266-05988ECC16F1},517,Telecommunications
{9EFA9119-4938-4E1D-B7C0-05B19E424ACF},22121,Natural Gas Distribution
{57934DA1-04E6-4A68-B448-05BDD2564477},444190,Other Building Material Dealers
{3AE91EED-4772-481C-99C4-05C9444CF044},6211,Offices of Physicians
{E3D5B93B-ED65-43AD-8E89-05CC3A99DA3D},3369,Other Transportation Equipment Manufacturing
{2E6C3319-9FBE-4DAE-AA20-05DE367401CC},611610,Fine Arts Schools
{B94BB317-5256-44AD-85B8-06025E1C1627},31191,Snack Food Manufacturing
{6E7714D1-073A-4C11-88DC-060D2690FD2E},56192,Convention and Trade Show Organizers
{90A80AA6-36A7-4145-9318-06394F2EF83E},332710,Machine Shops
{602CE041-2CCC-4F89-B6D5-06519AE80BF3},321999,All Other Miscellaneous Wood Product Manufacturing
{B5D45019-91F7-4067-AD6D-069F444D64DB},336212,Truck Trailer Manufacturing
