PSCGuid,CodeDescription,Code,Level1,Level1Category,Level2,Level2Category
{09826077-2BF4-4E06-A123-00062E68A56D},AA11 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (BASIC RESEARCH)),AA11,17,Research and Development,17.3,Technology Base
{F1874105-C135-442A-9C6A-0013817C68E8},AA12 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AA12,17,Research and Development,17.3,Technology Base
{C63717BC-9678-4944-9665-0022EE081DCE},AA13 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ADVANCED DEVELOPMENT)),AA13,17,Research and Development,17.1,Systems Development
{570B1A9E-B527-428A-98A6-002415C1D6C8},AA14 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ENGINEERING DEVELOPMENT)),AA14,17,Research and Development,17.1,Systems Development
{6F2BF36B-7704-471E-8255-002863A9C63A},AA15 R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT),AA15,17,Research and Development,17.2,Operational Systems Development
{E39C9629-3B1F-41D6-A648-002AFEF2B22C},AA16 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (MANAGEMENT/SUPPORT)),AA16,2,Professional Services,2.3,Management Advisory Services
{4D7CE7BB-961D-40C9-B76B-002C62CE7B6C},AA17 (R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (COMMERCIALIZED)),AA17,17,Research and Development,17.4,Commericalization
{AA467C54-2B18-42F9-9C0F-003A5EC757CF},AA21 (R&D- AGRICULTURE: MARKETING (BASIC RESEARCH)),AA21,17,Research and Development,17.3,Technology Base
{B8E12F5F-5E51-4348-A110-003EDDF46032},AA22 R&D- AGRICULTURE: MARKETING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AA22,17,Research and Development,17.3,Technology Base
{A332A56A-7C9B-4AFB-83D5-0047AE7A65A5},AA23 (R&D- AGRICULTURE: MARKETING (ADVANCED DEVELOPMENT)),AA23,17,Research and Development,17.1,Systems Development
{94A9DD4A-9598-4AD3-9741-004920A51734},AA24 (R&D- AGRICULTURE: MARKETING (ENGINEERING DEVELOPMENT)),AA24,17,Research and Development,17.1,Systems Development
{BE3F38A7-2D51-40C6-BC0C-0055FB77D74E},AA25 R&D- AGRICULTURE: MARKETING (OPERATIONAL SYSTEMS DEVELOPMENT),AA25,17,Research and Development,17.2,Operational Systems Development
{6C4E3C0E-A46C-4113-A2EE-0069AFF6272D},AA26 (R&D- AGRICULTURE: MARKETING (MANAGEMENT/SUPPORT)),AA26,2,Professional Services,2.4,Marketing and Distribution
{A726DCC7-5E07-4044-A555-007E196DFD1C},AA27 (R&D- AGRICULTURE: MARKETING (COMMERCIALIZED)),AA27,17,Research and Development,17.4,Commericalization
{80CFAF8F-05D0-4C91-82EC-00AA3B5B0FB7},AA31 (R&D- AGRICULTURE: PRODUCTION (BASIC RESEARCH)),AA31,17,Research and Development,17.3,Technology Base
{04868281-1EFB-4659-84D2-00CBFE540055},AA32 (R&D- AGRICULTURE: PRODUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AA32,17,Research and Development,17.3,Technology Base
{054284B7-2DF8-4091-AEF7-00E02843C69E},AA33 R&D- AGRICULTURE: PRODUCTION (ADVANCED DEVELOPMENT),AA33,17,Research and Development,17.1,Systems Development
{94E312DA-5067-4D58-8668-00E2240D57F6},AA34 (R&D- AGRICULTURE: PRODUCTION (ENGINEERING DEVELOPMENT)),AA34,17,Research and Development,17.1,Systems Development
{B3C7D484-AF67-46E4-8129-010569E181A7},AA35 R&D- AGRICULTURE: PRODUCTION (OPERATIONAL SYSTEMS DEVELOPMENT),AA35,17,Research and Development,17.2,Operational Systems Development
{7523B41F-254D-4F22-9840-014876661278},AA36 (R&D- AGRICULTURE: PRODUCTION (MANAGEMENT/SUPPORT)),AA36,2,Professional Services,2.3,Management Advisory Services
{3DE0CAFE-AD65-470A-8EF4-014CBA15F921},AA37 R&D- AGRICULTURE: PRODUCTION (COMMERCIALIZED),AA37,17,Research and Development,17.4,Commericalization
{CC1187B0-C042-4FA1-9802-015B15FC0A8E},AA91 (R&D- AGRICULTURE: OTHER (BASIC RESEARCH)),AA91,17,Research and Development,17.3,Technology Base
{D5A7879C-1C55-4036-8FF2-017AF81AC66C},AA92 (R&D- AGRICULTURE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AA92,17,Research and Development,17.3,Technology Base
{14CD5664-9479-49BA-AAFC-01D2861CB372},AA93 (R&D- AGRICULTURE: OTHER (ADVANCED DEVELOPMENT)),AA93,17,Research and Development,17.1,Systems Development
{84893A6B-1FE2-4783-9F6D-01EDEC48F397},AA94 (R&D- AGRICULTURE: OTHER (ENGINEERING DEVELOPMENT)),AA94,17,Research and Development,17.1,Systems Development
{512BAABC-E560-43CA-AAE2-01EFC0F9CA1D},AA95 (R&D- AGRICULTURE: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AA95,17,Research and Development,17.2,Operational Systems Development
{85225F2E-E286-4829-BADA-01FC65A76C2A},AA96 (R&D- AGRICULTURE: OTHER (MANAGEMENT/SUPPORT)),AA96,2,Professional Services,2.3,Management Advisory Services
{4E692F3A-FB4F-43FD-AEF7-021E6079188E},AA97 (R&D- AGRICULTURE: OTHER (COMMERCIALIZED)),AA97,17,Research and Development,17.4,Commericalization
{ED26950C-65F4-4BD6-AA7A-0241617D1EC1},AB11 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (BASIC RESEARCH)),AB11,17,Research and Development,17.3,Technology Base
{C554813D-DF8A-4001-A92E-0256CB9F9644},AB12 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AB12,17,Research and Development,17.3,Technology Base
{5AE04871-0EBF-4238-AE5F-0273FA66FE41},AB13 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (ADVANCED DEVELOPMENT)),AB13,17,Research and Development,17.1,Systems Development
{7CE59D04-A519-4E21-8CA0-0280A0BEE0D7},AB14 R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (ENGINEERING DEVELOPMENT),AB14,17,Research and Development,17.1,Systems Development
{CBFA0A98-68CE-4FFD-8AB5-029F1B9AC07A},AB15 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT)),AB15,17,Research and Development,17.2,Operational Systems Development
{ECCE7CFB-01FF-4555-AFD9-02A27A0630D6},AB16 (R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (MANAGEMENT/SUPPORT)),AB16,2,Professional Services,2.3,Management Advisory Services
{78127C1D-CEBB-4407-BD63-02A79BF7C98D},AB17 R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (COMMERCIALIZED),AB17,17,Research and Development,17.4,Commericalization
{B685B421-E3C5-45E1-A9FF-02BEE3FE4784},AB21 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (BASIC RESEARCH)),AB21,17,Research and Development,17.3,Technology Base
{1E25EA7C-563A-4ECE-A76C-02E1058D52AF},AB22 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AB22,17,Research and Development,17.3,Technology Base
{660CEFAE-3A72-4D16-8027-02E519874297},AB23 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ADVANCED DEVELOPMENT)),AB23,17,Research and Development,17.1,Systems Development
{3D2668E1-5858-4011-82A3-030D6781A0B3},AB24 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ENGINEERING DEVELOPMENT)),AB24,17,Research and Development,17.1,Systems Development
{22E0AC95-F473-4EC3-B5C6-0331B8FF351A},AB25 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT)),AB25,17,Research and Development,17.2,Operational Systems Development
{7EC0E93B-BB5B-4167-8B1D-034ADDF85CEB},AB26 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (MANAGEMENT/SUPPORT)),AB26,2,Professional Services,2.3,Management Advisory Services
{0FDEB2E3-6F43-4787-BBD2-036A510E59C0},AB27 (R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (COMMERCIALIZED)),AB27,17,Research and Development,17.4,Commericalization
{9DA5F727-0994-4921-BC7A-037346B7E6C8},AB31 (R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (BASIC RESEARCH)),AB31,17,Research and Development,17.3,Technology Base
