RegionGuid,RegionName,RegionCode,RegionalManager,IsActive,IsDeleted,CreatedOn,UpdatedOn,CreatedBy,UpdatedBy
{3B5FAFCD-8FDB-4C27-BF41-0938EFC4DEA0},US Western Region,10,{05B302B7-49F0-49AB-A20A-FD64541EF979},0,0,2019-03-07 16:44:05.370000000,2019-07-01 00:32:38.970000000,{3B5FAFCD-8FDB-4C27-BF41-0938EFC4DEA0},{00000000-0000-0000-0000-000000000000}
{0BFFBB17-DD99-45E5-B8B5-1658AD03E3FC},testdemo,06,{74644ACD-F1C1-4C35-BE36-352675F305CD},1,1,2019-05-22 23:37:28.840000000,2019-05-22 23:37:28.840000000,{1A27EBF5-98A3-430C-9AD2-92A60FD3A63E},{E08DE3D1-5492-483A-BAEA-E866CA8D99C5}
{DFEE5FBB-D40C-4412-BF51-19FAF8BA8575},testing,jhghjg,{1DBBEDAC-AFED-4E90-9623-75839E2538CF},1,1,2019-05-23 00:28:41.673000000,2019-05-23 00:28:41.673000000,{878BAF68-D0BF-4E0E-9D52-1FB4051A8B07},{E79BE3FC-B6C6-473D-AAF5-3442C8CEBBDC}
{6676F163-8FC3-432C-9138-4FA6535E671A},New Region,12,{74644ACD-F1C1-4C35-BE36-352675F305CD},1,0,2019-05-31 02:48:52.287000000,2019-05-31 02:48:52.287000000,{920EA36E-911C-4345-8BE5-29C190C8E5C5},{920EA36E-911C-4345-8BE5-29C190C8E5C5}
{3A6F5FB8-6A54-40F4-AD15-539AC6DAD9C7},US Southeast Region,30,{F0AFE6EF-770C-4CC0-AA72-C636FCF8FF9D},1,0,2019-04-11 10:44:17.113000000,2019-04-11 10:44:17.113000000,{3A6F5FB8-6A54-40F4-AD15-539AC6DAD9C7},{3A6F5FB8-6A54-40F4-AD15-539AC6DAD9C7}
{F30D1799-39EC-440F-A1BF-78F74685503A},!@##$%,52,{650F3732-FF40-4351-A172-12259365417D},0,1,2019-05-29 03:20:01.260000000,2019-05-29 03:20:01.260000000,{920EA36E-911C-4345-8BE5-29C190C8E5C5},{920EA36E-911C-4345-8BE5-29C190C8E5C5}
{E86DB13E-A702-4A17-8D7B-935B5142AE5F},test5,65,{677F04B3-F2BC-4520-98A3-2C42BD82A427},1,0,2019-05-29 03:19:10.107000000,2019-05-29 03:19:10.107000000,{920EA36E-911C-4345-8BE5-29C190C8E5C5},{920EA36E-911C-4345-8BE5-29C190C8E5C5}
{C535CB1C-CF3A-44E1-A616-A12D5C50BA06},test02,70,{74644ACD-F1C1-4C35-BE36-352675F305CD},1,1,2019-05-23 00:22:05.053000000,2019-05-23 00:22:05.053000000,{8F60383A-E003-4DAD-81C8-0E84A3AE23D8},{080DAE21-BE31-4D85-B540-1489F1E0A91C}
{38D116C8-7440-43CC-A2B3-ACFAB088A49A},test,01,{949409BB-165D-49A8-B6BD-2320A2613ACC},1,0,2019-05-09 05:24:44.207000000,2019-05-09 05:24:44.207000000,{462C6FEB-C0D3-42FC-B9C7-64478CC78988},{0F1F0203-72F6-4F2B-B7BF-8BB7629CB899}
{23EBE61C-7981-4A23-A1C5-B0B2E77FFD27},test6,@#$$@2,{949409BB-165D-49A8-B6BD-2320A2613ACC},1,1,2019-05-29 03:20:45.610000000,2019-05-29 03:20:45.610000000,{920EA36E-911C-4345-8BE5-29C190C8E5C5},{920EA36E-911C-4345-8BE5-29C190C8E5C5}
{25A8330D-DDEA-481B-B9E2-B17EFF97AAB6},!#^^%$&,101,{5C377110-9DFD-45FA-9321-BC249A2627A1},1,1,2019-05-23 00:24:49.387000000,2019-05-23 00:24:49.387000000,{17BE502F-08E2-4A5F-A9E2-30E0233E97C9},{EB1B5033-3D9E-416D-9350-B7FB5B763F1B}
{86EE3B11-3210-4CD3-9D64-B451AE686144},demo1,90,{3478F4AE-61E1-4B42-837D-F121F3CB00BC},1,0,2019-05-22 23:42:00.347000000,2019-05-22 23:42:00.347000000,{C95DB4B2-58D5-49CF-BBAD-91BD113945DD},{86BA3C86-F806-4CC9-9557-2D8D1BCA9B58}
{1CCF3D90-CF61-4BE0-8841-BCB749B9C8D8},Alaska/Pacific Rim Region,50,{BDAEAC4F-4038-4242-96DE-7E88C1188FA8},1,0,2019-04-11 11:15:20.757000000,2019-04-11 11:15:20.757000000,{1CCF3D90-CF61-4BE0-8841-BCB749B9C8D8},{1CCF3D90-CF61-4BE0-8841-BCB749B9C8D8}
