ActionGuid,ResourceGuid,Name,Title,Description,ActionType,IsAuditableAction,ResourceAction
{E6829860-2BD1-4657-96AA-049C27BA8521},{0C5D70EA-1FC3-439B-A95E-395F33BF77A3},Edit,Edit Work Break Down Structure,Edit Work Break Down Structure,Write,,Edit
{1B56D9F5-15B2-4D00-AD2C-12EC73A5AA14},{774B921B-2883-4202-A984-62E0467515DB},List,List All Job Request,List All Job Request,Read,,List
{326517AF-DA65-408A-A58A-1579475C6308},{2E7A8F08-4C4D-44F4-9E36-0E0FC043D1E9},Detail,View Notice,Detail Notice,Read,,Details
{100062C4-1F9A-43EA-A1EB-21E1799A467D},{30638743-9812-4849-AF99-6AC015E845FC},Edit,Edit Contract Details,NULL,Write,,Edit
{E83A7E3E-0C59-484C-B431-22FD92151612},{41CD53B5-2A7C-4485-AD9A-7688751B05CE},Add,Add Revenue Recognition,Add Revenue Recognition,Write,,Add
{EAD9E208-A966-4C6C-BF7C-3A1095F461AE},{B3DB3D96-9048-4C72-A9FA-3D9501A01694},Edit,Edit Clauses,Edit Clauses,Write,,Edit
{626F7D9D-FCDB-48BF-B80A-46DACF57E6A6},{7A281ADF-B140-4800-BC0B-561689B84C60},ManageCompany,Manage Company,Manage Company,Read,,ManageCompany
{E8285BF4-5ABE-4D56-8CCB-4A1BE68F0F6B},{5A1DA87D-96BC-4EC2-9022-07DF70202FEA},Detail,View Labor Category Rates,View Labor Category Rates,Read,,Details
{6C933563-2737-463B-8560-4C824F61F544},{2E7A8F08-4C4D-44F4-9E36-0E0FC043D1E9},Edit,Edit Notice,Edit Notice,Write,,Edit
{4CD4BACA-A20B-4ADA-8929-4D53084CE6A3},{7A281ADF-B140-4800-BC0B-561689B84C60},ManageFar,Manage Far Clause,Manage Far Clause,Read,,ManageFar
{F1E93F0E-41EA-4B8E-84BA-78E1EA7576BE},{B3DB3D96-9048-4C72-A9FA-3D9501A01694},Detail,View Clauses,View Clauses,Read,,Details
{548A890E-DE32-45F1-8B35-7BF075AB9015},{41CD53B5-2A7C-4485-AD9A-7688751B05CE},List,View Revenue Recognition,View Revenue Recognition,Read,,List
{85B1CA45-87CE-41A0-B874-7DFA0114C986},{0C5D70EA-1FC3-439B-A95E-395F33BF77A3},Detail,View Work Break Down Structure,View Work Break Down Structure,Read,,Details
{B711550F-A732-46F9-8D64-81D40C10D388},{0C5D70EA-1FC3-439B-A95E-395F33BF77A3},Add,Add Work Break Down Structure,Add Work Break Down Structure,Write,,Add
{155854CE-AD60-4333-859C-842E6AE050B0},{774B921B-2883-4202-A984-62E0467515DB},Detail,View Job Request,View Job Request,Read,,Details
{9E8C339A-00FF-4459-B9C0-91355F3213B8},{30638743-9812-4849-AF99-6AC015E845FC},Delete,Delete Contracts,NULL,Write,,Delete
{73D19B7F-0221-4D91-94BE-968F7352D47D},{5A1DA87D-96BC-4EC2-9022-07DF70202FEA},Edit,Edit Labor Category Rates,Edit Labor Category Rates,Write,,Edit
{61FDB347-BBDF-41C9-B246-97F523032F8C},{F055A0C5-84D1-4EF2-A31D-1E9B0D52B013},Detail,View Employee Billing Rates,View Employee Billing Rates,Read,,Details
{0BB648D0-D2A7-4F24-818D-9D22B8A1ED4A},{4B0091F9-3B99-40A9-9269-B9D360C95BD9},Manage,Manage Document,Manage Document,Read,,Manage
{44C9291B-93DE-4F91-AED9-9D313B5C87EA},{2E7A8F08-4C4D-44F4-9E36-0E0FC043D1E9},Add,Add Notice,Add Notice,Write,,Add
{84D79233-F979-4DA2-B8F4-9E3C3CCAB0EB},{B3DB3D96-9048-4C72-A9FA-3D9501A01694},List,List Clauses,List Clauses,Read,,List
{440D114C-FD4B-4DD9-8689-9EA134BAA326},{5A1DA87D-96BC-4EC2-9022-07DF70202FEA},Add,Add Labor Category Rates,Add Labor Category Rates,Write,,Add
{605A68A9-FF54-410B-8B0D-A396AE3C4D57},{41CD53B5-2A7C-4485-AD9A-7688751B05CE},Edit,Edit Revenue Recognition,Edit Revenue Recognition,Write,,Edit
{3F2C93C9-AD56-42B8-AD31-A7A279F3824B},{30638743-9812-4849-AF99-6AC015E845FC},List,List Contracts,List the Contracts,Read,,List
{BAE912EA-C1D9-4002-8FC7-B34084E4DE48},{30638743-9812-4849-AF99-6AC015E845FC},Export,Export,Detail of Contracts,Write,,Export
{17067AD5-5968-41F7-B160-BC72180BAEA1},{F055A0C5-84D1-4EF2-A31D-1E9B0D52B013},Add,Add Employee Billing Rates,Add Employee Billing Rates,Write,,Add
{FD482CC0-44F4-4BB1-AE12-BCDDBFF3429F},{30638743-9812-4849-AF99-6AC015E845FC},Add,Add Contracts,NULL,Write,,Add
{7A445B7A-9C65-4D76-B172-CFAFD6C612A5},{7A281ADF-B140-4800-BC0B-561689B84C60},ManageRegion,Manage Region,Manage Region,Read,,ManageRegion
{979E38FA-6083-4010-8CB6-D44A0CCD8DD7},{7A281ADF-B140-4800-BC0B-561689B84C60},ManageOffice,Manage Office,Manage Office,Read,,ManageOffice
