Code,Name,President,Abbreviation,Description,Action
42,Fixed demo,adam.halliday,SDC,,Enable
43,sdfsdf,lowell.adams,FDS,,Disable
6,North Wind Site Services,kkearney,NWSS,,Delete
5,demo contract,adam.johnson,ADS,,Add
8,North Wind Portage,jrabe,NWP,,Update
9,Weldin Construction,Thomas.Selmer,WELDIN,,Enable
%$,demo three,adam.martin_sa,KTS,,Enable
5,North Wind Solutions,jbukowski,NWSOL,,Enable
80,@#$$,Adam.Mallas,GHK,,Enable
3,North Wind Resource Consulting,jfahnestock,NWRC,,Enable
32,Company name,blane,New abbre,,Enable
52,@#$%^,Adam.Mallas,FDS,hello,Enable
51,demo contract one,abraham.ramirez,GFD,,Enable
35,&^%$#@!%%%,adam.martin_sa,RTG,,Enable
73,sdfdsf,Adam.Mallas,efs,,Enable
90,<script>alert('Hello');</script>,aaron.buchanan,<script>alert('Hello')</script>,<script>alert('Hello');</script>,Enable
50,Testing,abraham.ramirez,KMP,Hello,Enable
7,North Wind Infrastructure & Technology,rszozda,NWI&T,,Enable
0,North Wind Group,cball,NWG,,Enable
75,demo company,adam.johnson,EDF,,Enable
2,North Wind Services,jfurr,NWSER,,Enable
10,Silver Mountain Construction,bbrooks,SILMOU,Hello world,Enable
