Code,Name,President,Abbreviation,Description,Import Status,Reason,
00,North Wind Group,cleichtweis@northwindgrp.com,NWG,,Success,Added Successfully,
01,North Wind Inc.,jfurr@northwindgrp.com,NWI,,Success,Added Successfully,
02,North Wind Services,jfurr@northwindgrp.com,NWS,,Success,Added Successfully,
03,North Wind Resource Consulting,jfahnestock@northwindgrp.com,NWRC,,Success,Added Successfully,
04,North Wind Construction Services,bbrooks@northwindgrp.com,NWCS,,Success,Added Successfully,
05,North Wind Solutions,jbukowski@northwindgrp.com,NWSol,,Success,Added Successfully,
06,North Wind Site Services,kkearney@northwindgrp.com,NWSS,,Success,Added Successfully,
07,North Wind Infrastructure & Technology,rszozda@northwindgrp.com,NWI&T,,Success,Added Successfully,
08,North Wind Portage,jscott2@northwindgrp.com,NWP,,Success,Added Successfully,
09,Weldin Construction,Thomas.Selmer@northwindgrp.com,WELDIN,,Success,Added Successfully,
0A,ANC Northern JV,Michael.Chan@northwindgrp.com,ANCNOR,,Success,Added Successfully,
0C,"North Wind Portage Canada, ULC",jscott2@northwindgrp.com,NWPC,,Success,Added Successfully,
0N,North Wind Neu Security Services JV,jbukowski@northwindgrp.com,NWNEU,,Success,Added Successfully,
0P,Portsmouth Mission Alliance,jbukowski@northwindgrp.com,PMA,,Success,Added Successfully,
0R,North Wind Resource Partners JV,jfahnestock@northwindgrp.com,NWRPJV,,Success,Added Successfully,
10,Silver Mountain Construction,bbrooks@northwindgrp.com,SMC,,Success,Added Successfully,
11,ANC R&D,Michael.Chan@northwindgrp.com,ANC,,Success,Added Successfully,
