Code,Name,President,Abbreviation,Description
00,North Wind Group,cleichtweis@northwindgrp.com,NWG,
01,North Wind Inc.,jfurr@northwindgrp.com,NWI,
02,North Wind Services,jfurr@northwindgrp.com,NWS,
03,North Wind Resource Consulting,jfahnestock@northwindgrp.com,NWRC,
04,North Wind Construction Services,bbrooks@northwindgrp.com,NWCS,
05,North Wind Solutions,jbukowski@northwindgrp.com,NWSol,
06,North Wind Site Services,kkearney@northwindgrp.com,NWSS,
07,North Wind Infrastructure & Technology,rszozda@northwindgrp.com,NWI&T,
08,North Wind Portage,jscott2@northwindgrp.com,NWP,
09,Weldin Construction,Thomas.Selmer@northwindgrp.com,WELDIN,
0A,ANC Northern JV,Michael.Chan@northwindgrp.com,ANCNOR,
0C,"North Wind Portage Canada, ULC",jscott2@northwindgrp.com,NWPC,
0N,North Wind Neu Security Services JV,jbukowski@northwindgrp.com,NWNEU,
0P,Portsmouth Mission Alliance,jbukowski@northwindgrp.com,PMA,
0R,North Wind Resource Partners JV,jfahnestock@northwindgrp.com,NWRPJV,
10,Silver Mountain Construction,bbrooks@northwindgrp.com,SMC,
11,ANC R&D,Michael.Chan@northwindgrp.com,ANC,
