Status,Contract Number,Task Order Number,Project Number,IsIDIQ,IsTaskOrder,IsPrime,Subcontract Number,Org ID,Title,Description,Award Amount,Funded Amount,POP Start,POP End,Contract Country,Contract State,NAICS,PSC,CPAR eligible,Competition,Billing Address,Contract Rep,Project Controls Rep,Project Manager,Accounting Rep,Awarding Agency,Award Agency Contract Representative,Awarding Agency Technical Representative,Funding Agency,Funding Agency Contract Representative,Funding Agency Technical Representative,Action,Human Resources Rep,Purchasing Rep,Subcontract Rep
Active,W912DY-14-D-0005,,0N0001,1,0,0,test 1,03.30.15,USACE MATOC / Design-Build Construction / JV with NEU Security,,200000000,0,2018-10-07T00:00:00,2019-04-06T00:00:00,USA,,237310,,Y,,FDInvoice@usace.army.mil,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912P9-14-D-0525,,50010,1,0,1,test 2,03.30.15,Remedial Action Iowa Army Ammunition Plant (IAAAP) Operable Unit (OU)-8,,15557091.56,0,2017-05-24T00:00:00,2019-03-31T00:00:00,USA,IA,562910,,Y,Non-Competed,Block 14 on Page 1,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,3458,4467,
Active,N00189-14-D-Z043,,50013,1,0,1,test 3,03.30.15,NAVSUP FLC NORFOLK IDIQ,,18749732,0,2014-09-29T00:00:00,2019-12-31T00:00:00,USA,PA,561110,,Y,Non-Competed,WAWF ,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,3458,4467,
Active,HSCG50-14-D-PXA701,,20089,1,0,1,test 4,03.30.15,Environmental Regulatory Services IDIQ,,,0,2014-09-30T00:00:00,2019-09-30T00:00:00,USA,AK,562910,,Y,Competed,www.fincen.uscg.mil/centralinv/central_inv_contr.cfm,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,,,50022,1,0,0,SC-20 16-0015 ,05.40.99,Paducah Infrastructure Support Services (Paducah ISS),,12382379,12382379,2015-10-02T00:00:00,2020-09-30T00:00:00,USA,KY,561210,,Y,Competed,,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,3458,4467,
Active,DE-EM0003836/1087-15-502677,,50023,1,0,1,,05.40.99,West Valley Technical Assistance Project,,15000000,0,2015-08-31T00:00:00,2020-08-30T00:00:00,USA,NY,562910,,Y,Non-Competed,VIPERS System (page 33 of 66),Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,3458,4467,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,AL,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,FL,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,GA,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,IN,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
