Status,Contract Number,Task Order Number,Project Number,IsIDIQ,IsTaskOrder,IsPrime,Subcontract Number,Org ID,Title,Description,Award Amount,Funded Amount,POP Start,POP End,Contract Country,Contract State,NAICS,PSC,CPAR eligible?,Quality Level,Acquisition Type,Competition,Contract Type,Currency,Billing Address,Billing Frequency,G&A %,OH %,Fee %,Invoice Submission Method,Payment Terms,Applicable Wage Determination,Billing Formula,Revenue Formula,Revenue Recognition EAC %,Onsite OH,Offsite OH,Contract Rep,Project Controls Rep,Project Manager,Accounting Rep,Awarding Agency,Award Agency Contract Representative,Awarding Agency Technical Representative,Funding Agency,Funding Agency Contract Representative,Funding Agency Technical Representative,Human Resources Rep,Action,Purchasing Rep,Subcontract Rep
Inactive,,,10070,0,0,0,,02.30.04,Los Alamos Landfill PH 2&,"The current repositories cannot hold any additional material – there is no place to expand.  A third repository needs to be designed and constructed to hold a minimum of  22,000 cubic yards.  This third repository will be constructed in the former clay borrow location.  In addition, the contractor will be required to obtain all necessary clearances from the local BLM office and the current oil and gas leasee, Williams Petroleum.   This may include the relocation of associated oil and gas well appurtenances.
 The contractor will be required to:
1)  design the repository, including all restoration features, in accordance with the 100% Engineering Design Document for the Phase II Repository Expansion.  
Upon completion and final approval of the final design of Phase III, the contractor will be required to: 
2)  haul all remaining shale from the main shale pile and the north shale pile and place it in the repository and then finish constructing the repository cover per approved design requirements.  
The contractor will also be required to:
3)  construct all restoration features in the former main shale and north shale areas, including the former ponding areas and the bottom land near Sharard Gulch.  This includes all stated benching, drainage swales, diversions, and culverts to slow stormwater flow and prevent major erosion of soil from the cliffside into Sharard Gulch and to prevent damage to the access road.  
",,,,,USA,NM,NONE,,,,8(a),Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,N69450-10-C-0756,,10358,0,0,1,,01.30.99,10358 - KEESLER AFB - Firing Range (Closed),,5568473,0,2010-06-25T00:00:00,2012-09-14T00:00:00,USA,MS,236220,,,,Unrestricted,Competed,Firm Fixed Price,,"Page 41, WAWF",,,,1,,,Davis Bacon Act,,,,95.59,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,W91238-06-D-0005 0007,,10571,0,1,1,,02.30.04,Hawthorne Army Depot NV,,5198866.23,5198866.23,2011-07-29T00:00:00,2012-07-28T00:00:00,USA,NV,NONE,,,1,Unrestricted,Competed,Firm Fixed Price,,Page 20,,,,4,,,Service Contract Act,,,,102.95,51.86,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,W912BV-11-D-0028 002,2,20033.002,0,0,1,,02.20.07,ENVIRO SERV & COMP WSMR,,1704817.6,0,2012-11-30T00:00:00,2012-12-31T00:00:00,USA,NM,541620,,,1,8(a),Non-Competed,Firm Fixed Price,,E-mail to Hazel.M.Davis@usace.army.mil,,,,7,,,Service Contract Act,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,W912VB-11-D-0028,3,20033.003,0,0,1,,02.20.07,ER PROGRAM TECHNICAL SUPP,,143549.35,143549.35,2012-03-01T00:00:00,2013-02-28T00:00:00,USA,NM,541620,,,2,8(a),Non-Competed,Firm Fixed Price,,e-mail to hazel.m.davis@uasce.army.mil,,,,7,,,Service Contract Act,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,20041,0,0,1,,02.30.04,INL Transportation IDIQ,,,,2011-09-30T00:00:00,2012-09-30T00:00:00,USA,ID,,,,,8(a),Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,20045,0,0,1,,02.30.04,PIER 36 BLDG 3 LEAD ABATE,,5540956.41,5540956.41,2011-12-07T00:00:00,2012-05-18T00:00:00,USA,WA,562910,,,,8(a),Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,W9128F-11-C-0069,,20038,0,0,1,,02.30.04,"20038 - PETERSON AFB, CO - AFSPC Building 1 Maintenance/Renovation ",,14479680,1819353.64,2013-06-08T00:00:00,2013-07-07T00:00:00,USA,CO,236220,,,2,8(a),Non-Competed,Firm Fixed Price,,"QCS Submittal of Prompt Payment
Alternate Address:
US Army Corps of Engineers; Attn: Area Engineer, Matt Ellis
1050 South Academy Blvd. Ste 100
Colorado Springs, CO 80910",,,,3.72,,,Davis Bacon Act,,,,102.95,53.02,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,20042,0,0,1,,02.30.04,SITUK RIVER WATCH WILDLIF,,,,2011-09-22T00:00:00,2012-11-11T00:00:00,USA,AK,,,,,Small Business,Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,20032,0,0,1,,02.10.02,BIG MTN RRS SUPPORT,,8069282.1,8069282.1,2011-07-20T00:00:00,2014-09-30T00:00:00,USA,AK,562910,,,,8(a),Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,W912HN-11-D-0015-0006,6,20026.006,0,0,1,,02.30.09,O&M FTG-01/FTG-09,,2490349.73,2490349.73,2013-08-22T00:00:00,2014-09-30T00:00:00,USA,GA,562910,,,2,8(a),Non-Competed,Firm Fixed Price,,,,,,8,,,Service Contract Act,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,4,20013.004,0,1,1,,02.30.04,FT JACKSON SPCC TANKS,,,,2010-09-30T00:00:00,2015-09-30T00:00:00,USA,SC,,,,,8(a),Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
