CustomerName,CustomerType,Department,Agency,Description,Address,Country,State,City,Zip Code,Email,PhoneNo,Abbreviation,Action
Able Clean Technologies,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
Acequia de los Barriales Water Commission,Commercial,,,,"10315 Lawton St. NW  Albuquerque, NM  87114",United States,Virginia,Dulles,98174,,,,Add
Acequia de los Fresquez Association,Commercial,,,,"PO Box 1305  Santa Cruz, NM  87567",United States,Virginia,Dulles,98174,,,,Add
Aerostar SES,Commercial,,,,"Aerostar SES LLC1006 Floyd Culler CourtOak Ridge, TN 37830",United States,Virginia,Dulles,98174,,,,Add
"Agrium US, Inc.",Commercial,,,,"PO Box 5000, Station A, Calgary, Alberta, Canada T2H 3B9",United States,Virginia,Dulles,98174,,,,Add
Akana,Commercial,,,," 6400 SE Lake Road, Suite 270 Portland OR 97222 ",United States,Virginia,Dulles,98174,,,,Add
Alaska Interstate Construction,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
AMEC Foster Wheeler,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
Andrew Smith,Commercial,,,,"P.O. Box 361  Petoskey, MI 49770",United States,Virginia,Dulles,98174,,,,Add
ANTHC,Commercial,,,,"4000 Ambassador Dr.  Anchorage, AK 99508",United States,Virginia,Dulles,98174,,,,Add
"Apex Envirinmental Management, Inc.",Commercial,,,,"7 Winchester Court, Mauldin, SC 29662",United States,Virginia,Dulles,98174,,,,Add
Aptus Architecture,Commercial,,,,"Aptus Architecture, 1200 S 4th St #206, Las Vegas, NV 89104",United States,Virginia,Dulles,98174,,,,Add
Arcadis,Commercial,,,,"Arcadis US, Inc.  630 Plaza Drive, Suite 600  Highlands Ranch CO. 80129",United States,Virginia,Dulles,98174,,,,Add
"Areva Enrichment Services Operations, LLC",Commercial,,,,"4800 Hampden, Suite 1000  Bethesda, MD 20814",United States,Virginia,Dulles,98174,,,,Add
"Arizona Electric Power Cooperative, Inc.",Commercial,,,,"Arizona Electric Power Cooperative, Inc.  P.O. Box 670  Benson, AZ 85602-0670  ",United States,Virginia,Dulles,98174,,,,Add
Arizona Public Service Company (APS),Commercial,,,,"2121 W. Cheryl Drive  Phoenix, AZ  85021 MS 3181",United States,Virginia,Dulles,98174,,,,Add
"Aspen Engineering, Inc.",Commercial,,,,"10727 N. Yellowstone Hwy, X Idaho Falls, ID 83401",United States,Virginia,Dulles,98174,,,,Add
"Asset Environmental Services II, LLC",Commercial,,,,P.O. Box 1371 Wilson WY 83014,United States,Virginia,Dulles,98174,,,,Add
ATC Communications,Commercial,,,,"ATC Communications  PO Box 98  Albion, ID 83311",United States,Virginia,Dulles,98174,,,,Add
Atkins,Commercial,,,,"7604 Technology Way, Suite 400, Denver CO 80237 ",United States,Virginia,Dulles,98174,,,,Add
Baker,Commercial,,,,Baker  20004 Jennie Lee Drive  Idaho Falls ID 83404,United States,Virginia,Dulles,98174,,,,Add
Bear River Zeolite,Commercial,,,,"Bear River Zeolite P.O Box 643 47 Cox Gulch Thompson Falls, MT 59873",United States,Virginia,Dulles,98174,,,,Add
Beartooth Exploration Inc,Commercial,,,,Beartooth  Exploration Inc 4814 Butterfield Trl NW Albuquerque NM 87120,United States,Virginia,Dulles,98174,,,,Add
Bechtel Marine Propulsion Corporation,Commercial,,,,"Naval Reactors Facility / INL  Scoville, ID 83415",United States,Virginia,Dulles,98174,,,,Add
