Customer Name,Customer Type,Department,Agency,Description,Address,Action
,Federal,Dept. of Energy,,,,Add
NAVFAC Southeast,Federal,Dept. of Defense,Navy,,,Add
USACE Sacramento,Federal,Dept. of Defense,Air Force,,,Add
"USACE, Tulsa District",Federal,Dept. of Defense,Army Corps,,"1645 South 101st East Ave, Tulsa OK, 74128-4609",Add
USACE - Tulsa District,Federal,Dept. of Defense,Army Corps,,"1645 South 101St East Ave.
Tulsa, OK 74128-4609",Add
,Federal,Dept. of Energy,,,,Add
,Federal,Dept. of Homeland Security,Coast Guard,,,Add
US Army Corps of Engineers,Federal,Dept. of Defense,Army Corps,,"US Army Corps of Engineers, Omaha District
1616 Capitol Avenue
Omaha, NE 68102-4901",Add
,Federal,Dept. of Agriculture,Forest Service,,,Add
US Army Engineering District - Alaska,Federal,Dept. of Defense,Army Corps,,,Add
US Army Core of Engineers - Savannah District,Federal,Dept. of Defense,Army Corps,,,Add
,Federal,Dept. of Defense,Army Corps,,,Add
,Federal,Dept. of Defense,Army Corps,,,Add
,Federal,Dept. of the Interior,BOR,,,Add
USACE,Federal,Dept. of Defense,Army Corps,,,Add
,State Government,,,,,Add
,Commercial,,,,,Add
,Federal,Dept. of Homeland Security,Coast Guard,,,Add
Atkins,Federal,Dept. of Defense,Army Corps,,,Add
US Army Engineer District,Federal,Dept. of Defense,Army Corps,,,Add
USACE Savannah District,Federal,Dept. of Defense,Army Corps,,,Add
,Federal,Dept. of Defense,Army Corps,,,Add
,Federal,Dept. of the Interior,BOR,,,Add
,State Government,,,,,Add
,Federal,Dept. of Defense,Army Corps,,,Add
,Federal,Dept. of the Interior,BLM,,,Add
,Federal,Dept. of Defense,Army Corps,,,Add
,Commercial,,,,,Add
,Federal,Dept. of Defense,Army Corps,,,Add
,Commercial,,,,,Add
CIRI,Commercial,,,,,Add
"Communication Designs, Inc.",Federal,Dept. of Energy,,,"394 10th Street
Idaho Falls, ID 83404

http://www.comdesigns.com",Add
Mountain Home AFB,Federal,Dept. of Defense,Air Force,,"366 Gunfighter Ave. Suite 498
Mountain Home AFB, ID 83648-5258",Add
,Commercial,,,,"Home Care Pulse
305 W. Main St. Rexburg, ID 83440",Add
Washington Closure Hanford,Federal,Dept. of Energy,,,,Add
Army,Federal,Dept. of Defense,Army,,,Add
Lockheed Martin Corporation,Federal,Dept. of Defense,Army,,"2339 Route 70 West, Cherry Hill NJ 08002-3315",Add
Fred Biebesheimer,Federal,Dept. of Energy,,,"CH2M Hill Plateau Remediation
P.O. Box 1600
Richland, WA 99352",Add
Battelle Memorial Institute,Federal,Dept. of Energy,,,"Battelle Memorial Institute
Pacific Northwest Division 
902 Battelle Memorial Institute, J2-05
P.O. Box 999
Richland, WA  99352-0999",Add
Battelle Pacific Northwest Division,Federal,Dept. of Energy,,,"Battelle Memorial Institute
Pacific North West National Laboratory
902 Battelle Boulevard
902 Box 999, MSIN J2-05",Add
CHPRC Plateau Remediation Contract,Federal,Dept. of Energy,,,"CH2M Hill Plateau Remediation Company
Project Subcontracts
Bldg 2420
P.O. Box 1600
Richland, WA  99352",Add
"Los Alsmos National Security, LLC",Federal,Dept. of Energy,,,"P.O. Box 1663, MS 997, Los Alamos, NM 87544 ",Add
URS - Washington Division,Federal,Dept. of Energy,,,"URS - Washington Division 
Energy Service Center
900 Trail Ridge Road
Aiken, SC 29803",Add
OWT Industries,Commercial,,,,,Add
USACE Sacramento ,Federal,Dept. of Defense,Army Corps,,,Add
Energy Solutions LLC,Federal,Dept. of Energy,,,,Add
"Areva Enrichment Services Operations, LLC",,,,,,Add
"Washington Closure Hanford, LLC",Federal,Dept. of Energy,,,"Washington Closure Hanford, LLC
2620 Fermi Avenue
Richland, WA 99354",Add
"Paragon Consulting, Inc.",State Government,,,,,Add
"Washington Closure Hanford, LLC",Federal,Dept. of Energy,,,,Add
Regency Centers,Commercial,,,,"5335 Meadows Rd., Suite 295
Lake Oswego, OR  97035",Add
Washington Closure Hanford,Federal,Dept. of Energy,,,,Add
Butler Engineering,Commercial,,,,,Add
"Lucas Engineering and Management Services, Inc.",Federal,Dept. of Energy,,,,Add
Communication Designs,Commercial,,,,,Add
ComDesigns,Federal,Dept. of Energy,,,"525 3rd Street, Idaho Falls, ID 83404",Add
Fluor-B&W Portsmough,Federal,Dept. of Energy,,,,Add
Test America,Commercial,,,,,Add
Paragon FBK,State Government,,,,,Add
AFCEC - Lonnie Wolfe PM,Federal,Dept. of Defense,Air Force,,,Add
,Federal,Dept. of Defense,Army,,,Add
"USACE, Alaska District",Federal,Dept. of Defense,Army Corps,,,Add
Keller Associates,,,,,,Add
Chevron Phillips Chemical PR Core,Commercial,,,,"Chevron Phillips Chemical
10001 Six Pines Dr. 
The Woodlands, TX  77380",Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas, Guayama, PR 00784",Add
Idaho Treatment Group (ITG),Federal,Dept. of Energy,,,,Add
DOE,Federal,Dept. of Energy,,,,Add
Weldin Construction,Commercial,,,,"561 Steel Loop
Palmer, AK  99645",Add
,Commercial,,,,,Add
AFCEE,Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave. Ste 163 - Lackland AFB, TX 78236",Add
AFCEE,Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave, Ste 163 - Lackland AFB, TX 78236",Add
AFCEE,Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave, Ste 163 - Lackland AFB, TX 78236",Add
US Army,Federal,Dept. of Defense,Army Corps,,,Add
"USACE, Alaska District",Federal,Dept. of Defense,Army Corps,,"PO Box 6898, Elmendorf AFB, AK 99506",Add
"Battelle Energy Alliance, LLC",Federal,Dept. of Energy,,,"2525 Fremont Avenue
Idaho Falls, ID 83415-1303",Add
ORP,Federal,Dept. of Energy,,,,Add
USACE Savannah District,,,,,,Add
USFS - Salmon-Challis National Forest,Federal,Dept. of Agriculture,Forest Service,,"1405 Hollipark Dr. 
Idaho Falls, ID 83401",Add
BEA,Federal,Dept. of Energy,,,,Add
DOE NE,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",Add
DOE,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415 ",Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415 
",Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",Add
"Orion Marine Contractors, Inc.",State Government,,,,,Add
US Army Eng Dist. St. Louis,Federal,Dept. of Defense,Army,,,Add
Encana,Commercial,,,,,Add
Encana Oil & Gas,Commercial,,,,,Add
Caribou-Targhee National Forest,Federal,Dept. of Agriculture,Forest Service,,,Add
"Kearns, McGinnis & Vandenberg, Inc.",Commercial,,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,,Add
,Federal,Dept. of the Interior,BLM,,,Add
