Customer Name,Customer Type,Department,Agency,Description,Address,Country,State,City,Zip Code,Email,PhoneNo,Abbreviation,Action
,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
NAVFAC Southeast,Federal,Dept. of Defense,Navy,,,United States,Virginia,Dulles,98174,,,,Add
USACE Sacramento,Federal,Dept. of Defense,Air Force,,,United States,Virginia,Dulles,98174,,,,Add
"USACE, Tulsa District",Federal,Dept. of Defense,Army Corps,,"1645 South 101st East Ave, Tulsa OK, 74128-4609",United States,Virginia,Dulles,98174,,,,Add
USACE - Tulsa District,Federal,Dept. of Defense,Army Corps,,"1645 South 101St East Ave.
Tulsa, OK 74128-4609",United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Homeland Security,Coast Guard,,,United States,Virginia,Dulles,98174,,,,Add
US Army Corps of Engineers,Federal,Dept. of Defense,Army Corps,,"US Army Corps of Engineers, Omaha District
1616 Capitol Avenue
Omaha, NE 68102-4901",United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Agriculture,Forest Service,,,United States,Virginia,Dulles,98174,,,,Add
US Army Engineering District - Alaska,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
US Army Core of Engineers - Savannah District,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BOR,,,United States,Virginia,Dulles,98174,,,,Add
USACE,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,State Government,,,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Homeland Security,Coast Guard,,,United States,Virginia,Dulles,98174,,,,Add
Atkins,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
US Army Engineer District,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
USACE Savannah District,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
