CustomerName,CustomerType,Department,Agency,Description,Address,Country,State,City,Zip Code,Email,PhoneNo,Abbreviation,Action
22D Contracting Squadron - FA4621,Federal,Dept. of Defense,Air Force,,"53384 Kansas St, Suite 121  McConnell AFB, KS 67221-3702",United States,Virginia,Dulles,98174,,,,Add
354th Contracting Squadron,Federal,Dept. of Defense,Air Force,,"2310 Central Avenue  Eielson AFB, AK 99402",United States,Virginia,Dulles,98174,,,,Add
3rd Aircraft Maintenance,Federal,Dept. of Defense,Air Force,,,United States,Virginia,Dulles,98174,,,,Add
55th CONS,Federal,Dept. of Defense,Air Force,,"55 Contracting Squadron,  101 Washington SQ., Blvd 40 Offutt AFB, NE 68113",United States,Virginia,Dulles,98174,,,,Add
673d CES - CEF - F1W3EC,Federal,Dept. of Defense,Air Force,,"6210 Arctic Warrior Drive  JBER, AK 99506-3384",United States,Virginia,Dulles,98174,,,,Add
673D Medical Group,Federal,Dept. of Defense,Air Force,,"5955 Zeamer Ave. Elmendorf AFB, AK 99506-3702",United States,Virginia,Dulles,98174,,,,Add
673rd Contracting Squadron,Federal,Dept. of Defense,Air Force,,"673rd Contracting Squadron  10480 Sijan Ave  JBER, AK 99506-2501",United States,Virginia,Dulles,98174,,,,Add
8ARMYBUF,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
99 CONS/LGCB,Federal,Dept. of Defense,Air Force,,"99 CONS/LGCB, 5865 Swaab Blvd Builidng 588, Nellis AFB, NV 89191",United States,Virginia,Dulles,98174,,,,Add
99TH CONS/LGCA,Federal,Dept. of Defense,Air Force,,"99 CONS/LGCA, 5865 Swaab Blvd Builidng 588, Nellis AFB, NV 89191",United States,Virginia,Dulles,98174,,,,Add
ACC - APG Garrison Division,Federal,Dept. of Defense,Army,,"U.S. Army Contracting Command-APG (ACC-APG)  6565 Surveillance Loop, Bldg. 6001, Rm. 2C101, Tenant Division  Aberdeen Proving Ground, MD 21005  ",United States,Virginia,Dulles,98174,,,,Add
"AFCEE, Denver Fed Center",Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave, Suite 163  Lackland AFB, TX 78236-9853",United States,Virginia,Dulles,98174,,,,Add
"AGEISS, Inc.",Federal,Dept. of Defense,Army Corps,,"12477 W. Cedar Drive, Suite 103 Lakewood CO 80228",United States,Virginia,Dulles,98174,,,,Add
AIR FORCE CENTER ENG ENV,Federal,Dept. of Defense,Air Force,,Nathan McGowan,United States,Virginia,Dulles,98174,,,,Add
AK Fish & Wildlife Service,Federal,Dept. of the Interior,USFWS,,"1011 E Tudor Rd  Anchorage, AK 99503-6199",United States,Virginia,Dulles,98174,,,,Add
AKANA,Federal,Dept. of Energy,,,"6400 SE Lake Rd, Ste 270  Portland, OR  97222",United States,Virginia,Dulles,98174,,,,Add
AMEC Foster Wheeler,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
"Applied Engineering Services, Inc.",Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Aptim,Federal,Dept. of Energy,,,    ,United States,Virginia,Dulles,98174,,,,Add
Arizona Public Service Company (APS),Federal,Dept. of the Interior,BLM,,"PO Box 53999  Phoenix, AZ  85072",United States,Virginia,Dulles,98174,,,,Add
Arnold AFB,Federal,Dept. of Defense,Air Force,,"PROPOSAL DELIVERY ADDRESS FOR FEDEX  772nd ESS/PKS  Attn: Ms. Christina G. Fernandez  3515 S. General McMullen, Rm 3026  San Antonio, TX 78226-2018  ",United States,Virginia,Dulles,98174,,,,Add
Atkins,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
AVISTA Corporation,Federal,Dept. of Defense,Army Corps,,"PO Box 3727  Spokane, WA 99220-3727",United States,Virginia,Dulles,98174,,,,Add
