CustomerName,CustomerType,Department,Agency,Description,Address,Country,State,City,Zip Code,Email,PhoneNo,Abbreviation,Action
,Department of Justice || FBI,Department of Justice,FBI,,,United States,Virginia,Dulles,98174,,,,Add
,Department of Justice || FBI,Department of Justice,FBI,,,United States,Virginia,Dulles,98174,,,,Add
,Department of Health and Human Services,,,,"3223 Grace Street, NW, Washington, DC 20007",United States,Virginia,Dulles,98174,,,,Add
,State Government,,,,,United States,Virginia,Dulles,98174,,,,Add
,State Government,,,,,United States,Virginia,Dulles,98174,,,,Add
ABQ Indian Health Services,Department of Health and Human Services,,,,,United States,Virginia,Dulles,98174,,,,Add
Ak-Chin Indian Community,Tribal Government,,,,,United States,Virginia,Dulles,98174,,,,Add
Albuquerque Indian Health Services,Department of Health and Human Services,,,,Albuquerque Indian Health Services  4101 Indian School Road NE Ste 225  Albuquerque NM 87110,United States,Virginia,Dulles,98174,,,,Add
"Apex Companies, LLC",Environmental Protection Agency,,,,"3015 SW First Avenue, Portland, OR 97201 ",United States,Virginia,Dulles,98174,,,,Add
"Areva Enrichment Services Operations, LLC",,,,,,United States,Virginia,Dulles,98174,,,,Add
Arizona Public Service Company,State Government,,,,"PO Box 53999  Phoenix, AZ  85072",United States,Virginia,Dulles,98174,,,,Add
Blackwater Community School,Tribal Government,,,,"Blackwater Community School  3652 E. Blackwater School Road  Coolidge, AZ 85128  ",United States,Virginia,Dulles,98174,,,,Add
Bonneville County,County Government,,,,"605 N. Capital Ave.  Idaho Falls, ID 83402",United States,Virginia,Dulles,98174,,,,Add
"Brown Environmental, Inc.",State Government,,,,"PO Box 886, Placitas, NM 87043",United States,Virginia,Dulles,98174,,,,Add
Canada Nuclear Laboratories,Canadian Nuclear Laboratories,,,,"286 Plant Rd, Chalk River, ON KOJ 1JO",United States,Virginia,Dulles,98174,,,,Add
Carter County Highway Dept.,State Government,,,,"1246 Stateline Road  Elizabethton, TN 37643",United States,Virginia,Dulles,98174,,,,Add
"Cascade Bridge, LLC",State Government,,,,,United States,Virginia,Dulles,98174,,,,Add
CDC NIOSH Pittsburgh,Department of Health and Human Services,,,,"Centers for Disease Control and Prevention (CDC)  Office of Acquisition Services (OAS)  626 Cochrans Mill Rd  Pittsburgh, PA 15236-0070",United States,Virginia,Dulles,98174,,,,Add
CDM Federal Programs Corporation,Environmental Protection Agency,,,,"CDM Federal Programs Corporation 3201 Jermantown Road Suite 400 Fairfax, VA 22030",United States,Virginia,Dulles,98174,,,,Add
CHPRC,DOE | NNSA,,,,"Mail Stop H8-41  2420 Stevens Center Place  PO Box 1600  Richland, WA  99352",United States,Virginia,Dulles,98174,,,,Add
CIRI,Tribal Government,,,,"Cook Inlet Region, Inc.  2525 C. Street, Suite 500  Anchorage, Alaska 99509",United States,Virginia,Dulles,98174,,,,Add
City of Burley,City Government,,,,"1401 Overland Ave.  Burley, ID 83318",United States,Virginia,Dulles,98174,,,,Add
City of Henderson Nevada,City Government,,,,,United States,Virginia,Dulles,98174,,,,Add
City of Idaho Falls,City Government,,,,50220 Idaho Falls Idaho 83405,United States,Virginia,Dulles,98174,,,,Add
