Customer Name,Customer Type,Department,Agency,Description,Address,Email,Abbreviation,Import Status,Reason,
NAVFAC SOUTHEAST,Federal,DEPT OF DEFENSE,DEPT OF THE NAVY,,,cara.morano@navy.mil,Navy,Success,Customer added successfully.,
USACE Sacramento,Federal,Dept. of Defense,Air Force,,,Patricia.A.Christie@usace.army.mil,Air Force,Success,Customer added successfully.,
"USACE, Tulsa District",Federal,Dept. of Defense,Army Corps,,"1645 South 101st East Ave, Tulsa OK, 74128-4609",Brenda.k.anderson@usace.army.mil,Army Corps,Success,Customer added successfully.,
USACE - Tulsa District,Federal,Dept. of Defense,Army Corps,,"1645 South 101St East Ave.
Tulsa, OK 74128-4609",brenda.k.anderson@usace.army.mil,Army Corps,Success,Customer added successfully.,
US Army Corps of Engineers,Federal,Dept. of Defense,Army Corps,,"US Army Corps of Engineers, Omaha District
1616 Capitol Avenue
Omaha, NE 68102-4901",john.a.jacobson@usace.army.mil,Army Corps,Success,Customer added successfully.,
US Army Engineering District - Alaska,Federal,Dept. of Defense,Army Corps,,,michael.d.suprenant,Army Corps,Success,Customer added successfully.,
US Army Core of Engineers - Savannah District,Federal,Dept. of Defense,Army Corps,,,Tracey.Epperley@usace.army.mil,Army Corps,Success,Customer added successfully.,
USACE,Federal,Dept. of Defense,Army Corps,,,mary.j.abbott@usace.army.mil,Army Corps,Success,Customer added successfully.,
Atkins,Federal,Dept. of Defense,Army Corps,,,abulger@atkins.com,Army Corps,Success,Customer added successfully.,
US Army Engineer District,Federal,Dept. of Defense,Army Corps,,,ingeborg.a.lawson@usacearmy.mil,Army Corps,Success,Customer added successfully.,
USACE Savannah District,Federal,Dept. of Defense,Army Corps,,,Brian.A.Miles@usace.army.mil,Army Corps,Success,Customer added successfully.,
CIRI,Commercial,,,,,kziolkowski@ciri.com,Commercial,Success,Customer added successfully.,
"Communication Designs, Inc.",Federal,Dept. of Energy,,,"394 10th Street
Idaho Falls, ID 83404

http://www.comdesigns.com",mike@comdesigns.com,DOE,Success,Customer added successfully.,
Mountain Home AFB,Federal,Dept. of Defense,Air Force,,"366 Gunfighter Ave. Suite 498
Mountain Home AFB, ID 83648-5258",carlos.sanders@mountainhome.af.mil,Air Force,Success,Customer added successfully.,
Washington Closure Hanford,Federal,Dept. of Energy,,,,jbsperli@wch-rcc.com,DOE,Success,Customer added successfully.,
Army,Federal,Dept. of Defense,Army,,,,Army,Success,Customer added successfully.,
Lockheed Martin Corporation,Federal,Dept. of Defense,Army,,"2339 Route 70 West, Cherry Hill NJ 08002-3315",,Army,Success,Customer added successfully.,
Fred Biebesheimer,Federal,Dept. of Energy,,,"CH2M Hill Plateau Remediation
P.O. Box 1600
Richland, WA 99352",Ginny_T_Jacobsen@rl.gov,DOE,Success,Customer added successfully.,
