ProjectNumber,ModNumber,ModTitle,POPStart,POPEnd,AwardAmount,FundingAmount
001481,0,new,2007-05-01T00:00:00,2008-04-30T00:00:00,,1760211.00
001481,1,Revises Section 2.0,NULL,NULL,,NULL
001481,12,NULL,NULL,NULL,,NULL
001481,13,Administrative mod,NULL,NULL,,NULL
001481,14,Administrative mod,2010-05-01T00:00:00,2011-10-31T00:00:00,,NULL
001481,15,Administrative modification,NULL,NULL,,NULL
001481,16,NULL,2010-05-01T00:00:00,2012-04-30T00:00:00,,NULL
001481,2,Revises Clin Numbers,NULL,NULL,,NULL
001481,3,Changes payment address to WAWF,NULL,NULL,,NULL
001481,4,Revises CLIN numbers,NULL,NULL,,NULL
001481,5,to date extended 1 year,2007-05-01T00:00:00,2009-04-30T00:00:00,,1945628.00
001481,6,Changes the pay office,2008-05-01T00:00:00,2009-04-30T00:00:00,,NULL
001481,7,NULL,2009-05-01T00:00:00,2010-04-30T00:00:00,,286215.00
001481,9,NULL,2010-05-01T00:00:00,2011-04-30T00:00:00,,269446.00
002012,1,"Modification 1 adds tasks (214, 215, & 241) and increases funding",NULL,NULL,,923388.00
002012,2,Modification 2 adds tasks 412 - Rose Lake Headgate and increases funding,NULL,NULL,,31064.39
002012,3,Modification 3 increases funding,NULL,NULL,,400000.00
002012,4,NULL,NULL,NULL,,50000.00
002012,5,Final Release,NULL,NULL,,NULL
002337.027,0,Release 27,2010-01-05T00:00:00,2011-09-30T00:00:00,,259682.50
002337.027,1,NULL,2009-11-23T00:00:00,2011-09-30T00:00:00,,NULL
002337.027,1A,NULL,NULL,NULL,,30000.00
002337.027,2,NULL,2009-11-23T00:00:00,2011-12-30T00:00:00,,63400.00
002337.027,3,(509) 376-7955,2009-11-23T00:00:00,2012-03-30T00:00:00,,44124.96
002337.027,4,NULL,2009-11-23T00:00:00,2012-09-30T00:00:00,,110000.00
002337.027,5,NULL,2009-11-23T00:00:00,2013-09-30T00:00:00,,95366.41
