ProjectNumber,ModNumber,ModTitle,POPStart,POPEnd,AwardAmount,FundingAmount,Action,Import Status,Reason,
001481,0,new,2007-05-01T00:00:00,2008-04-30T00:00:00,0,1760211.00, ,Success,Added successfully,
001481,1,Revises Section 2.0,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
001481,12,NULL,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
001481,13,Administrative mod,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
001481,14,Administrative mod,2010-05-01T00:00:00,2011-10-31T00:00:00,0,0, ,Fail,Duplicate Mod Title,
001481,15,Administrative modification,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
001481,16,NULL,2010-05-01T00:00:00,2012-04-30T00:00:00,0,0, ,Fail,Duplicate Mod Title,
001481,2,Revises Clin Numbers,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
001481,3,Changes payment address to WAWF,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
001481,4,Revises CLIN numbers,10/18/2019,10/18/2019,0,0, ,Fail,Duplicate Mod Title,
001481,5,to date extended 1 year,2007-05-01T00:00:00,2009-04-30T00:00:00,0,1945628.00, ,Success,Added successfully,
001481,6,Changes the pay office,2008-05-01T00:00:00,2009-04-30T00:00:00,0,0, ,Success,Added successfully,
001481,7,NULL,2009-05-01T00:00:00,2010-04-30T00:00:00,0,286215.00, ,Fail,Duplicate Mod Title,
001481,9,NULL,2010-05-01T00:00:00,2011-04-30T00:00:00,0,269446.00, ,Fail,Duplicate Mod Title,
002012,1,"Modification 1 adds tasks (214, 215, & 241) and increases funding",10/18/2019,10/18/2019,0,923388.00, ,Success,Added successfully,
002012,2,Modification 2 adds tasks 412 - Rose Lake Headgate and increases funding,10/18/2019,10/18/2019,0,31064.39, ,Success,Added successfully,
002012,3,Modification 3 increases funding,10/18/2019,10/18/2019,0,400000.00, ,Success,Added successfully,
002012,4,NULL,10/18/2019,10/18/2019,0,50000.00, ,Success,Added successfully,
002012,5,Final Release,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002337.027,0,Release 27,2010-01-05T00:00:00,2011-09-30T00:00:00,0,259682.50, ,Success,Added successfully,
002337.027,1,NULL,2009-11-23T00:00:00,2011-09-30T00:00:00,0,0, ,Success,Added successfully,
002337.027,1A,NULL,10/18/2019,10/18/2019,0,30000.00, ,Fail,Duplicate Mod Title,
002337.027,2,NULL,2009-11-23T00:00:00,2011-12-30T00:00:00,0,63400.00, ,Fail,Duplicate Mod Title,
002337.027,3,(509) 376-7955,2009-11-23T00:00:00,2012-03-30T00:00:00,0,44124.96, ,Success,Added successfully,
002337.027,4,NULL,2009-11-23T00:00:00,2012-09-30T00:00:00,0,110000.00, ,Fail,Duplicate Mod Title,
002337.027,5,NULL,2009-11-23T00:00:00,2013-09-30T00:00:00,0,95366.41, ,Fail,Duplicate Mod Title,
002438.013,0,Release 13,2011-01-07T00:00:00,2011-06-30T00:00:00,0,98898.00, ,Success,Added successfully,
002438.013,2,extends period of performance,2011-01-07T00:00:00,2011-12-07T00:00:00,0,26102.00, ,Success,Added successfully,
002438.013,3,(509) 375-2966,2011-01-07T00:00:00,2012-09-28T00:00:00,0,0, ,Success,Added successfully,
002438.013,4,NULL,10/18/2019,10/18/2019,0,10000.00, ,Success,Added successfully,
002438.013,5,"The correct funded amount for this project should be $145,000.  There was an error in the original contract amount, which I have tried to correct.  ",10/18/2019,10/18/2019,0,10000.00, ,Success,Added successfully,
002438.015,0,"Release 15, (509) 375-2966",2012-06-12T00:00:00,2012-07-31T00:00:00,0,29467.95, ,Success,Added successfully,
002438.015,1,Work Order 15,2012-06-12T00:00:00,2012-09-28T00:00:00,0,0, ,Success,Added successfully,
002445.003,10,NULL,2007-12-01T00:00:00,2009-09-30T00:00:00,0,35750.00, ,Success,Added successfully,
002445.003,11,NULL,2007-12-01T00:00:00,2010-03-30T00:00:00,0,71500.00, ,Fail,Duplicate Mod Title,
002445.003,12,NULL,10/18/2019,10/18/2019,0,1560.00, ,Fail,Duplicate Mod Title,
002445.003,13,NULL,10/18/2019,10/18/2019,0,1330.00, ,Fail,Duplicate Mod Title,
002445.003,14,NULL,10/18/2019,10/18/2019,0,142320.00, ,Fail,Duplicate Mod Title,
002445.003,15,This corresponsds to Clinent's Amendment 21 (first 6 Amendments were against 2445.002). For administrative resons we have split this contract between 2445.002 and 2445.003. ***From Tami's spreadsheet: Adds Kurt Thor and Phillip McFee***,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002445.003,16,"Total Value of the Contract is $1,140,051.66, including 2445.002 (value $267,442.76).  So value of this contract/task is $872,608.90.  ***From Tami's spreadsheet: Amount field is zero while 14,000 was already in this field, leaving 14,000 amount there until later resolved.***",2007-12-01T00:00:00,2011-09-30T00:00:00,0,14000.00, ,Fail,Error while updating in database i.e: String or binary data would be truncated.
The statement has been terminated.,
002445.003,17,NULL,10/18/2019,10/18/2019,0,360462.70, ,Fail,Duplicate Mod Title,
002445.003,18,NULL,10/18/2019,10/18/2019,0,21246.20, ,Fail,Duplicate Mod Title,
002445.003,19,NULL,2007-12-01T00:00:00,2011-12-31T00:00:00,0,0, ,Fail,Duplicate Mod Title,
002445.003,20,NULL,2007-12-01T00:00:00,2012-06-29T00:00:00,0,74000.00, ,Fail,Duplicate Mod Title,
002445.003,21,NULL,2007-12-01T00:00:00,2012-09-30T00:00:00,0,0, ,Fail,Duplicate Mod Title,
002445.003,22,NULL,2007-12-01T00:00:00,2012-10-01T00:00:00,0,15000.00, ,Fail,Duplicate Mod Title,
002445.003,7,NULL,2009-03-02T00:00:00,2009-09-30T00:00:00,0,39000.00, ,Fail,Duplicate Mod Title,
002445.003,8,"161496, Task 3 incorporates new funding and extends period of performance",2007-12-01T00:00:00,2009-09-30T00:00:00,0,18000.00, ,Success,Added successfully,
002445.003,9,NULL,10/18/2019,10/18/2019,0,11000.00, ,Fail,Duplicate Mod Title,
002445.003,9a,NULL,2007-12-01T00:00:00,2009-08-31T00:00:00,0,22000.00, ,Fail,Duplicate Mod Title,
002724.002,0,L10PD02073,2010-05-15T00:00:00,2010-12-31T00:00:00,0,40000.00, ,Success,Added successfully,
002724.002,1,L10PD02073,10/18/2019,10/18/2019,0,10000.00, ,Fail,Duplicate Mod Title,
002724.002,2,L10PD02073,2010-05-15T00:00:00,2011-09-30T00:00:00,0,16000.00, ,Fail,Duplicate Mod Title,
002724.002,3,L10PD02073,10/18/2019,10/18/2019,0,19000.00, ,Fail,Duplicate Mod Title,
002724.002,4,GS-10F-0247L,2010-05-15T00:00:00,2012-12-31T00:00:00,0,0, ,Success,Added successfully,
002724.002,4a,L10PD02073,2010-05-15T00:00:00,2012-09-30T00:00:00,0,14000.00, ,Fail,Duplicate Mod Title,
002724.002,5,POP Change Only,2012-09-30T00:00:00,2012-12-31T00:00:00,0,0, ,Success,Added successfully,
002731,0,AG-0489-D-10-0164,2010-09-03T00:00:00,2013-09-03T00:00:00,0,1914113.00, ,Success,Added successfully,
002731,1,AG-0489-D-10-0164,2010-09-03T00:00:00,2013-09-30T00:00:00,0,54730.00, ,Fail,Duplicate Mod Title,
002731,2,"AG-0489-D-10-0164, Corrects the contract disignation in IAS from Construction to Service",10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002731,3,"AG-0489-D-10-0164, Corrects the contracting Officer, Owner & buyer",10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002731,4,"AG-0489-D-10-0164, Corrects the contracting Officer, Owner & buyer",10/18/2019,10/18/2019,0,539530.75, ,Fail,Duplicate Mod Title,
002731,5,"AG-0489-D-10-0164, Corrects the contracting Officer, Owner & buyer",10/18/2019,10/18/2019,0,48604.52, ,Fail,Duplicate Mod Title,
002735.001,0,AG-02NV-D-10-0069,2011-05-23T00:00:00,2011-09-30T00:00:00,0,27405.00, ,Success,Added successfully,
002735.001,1,GS-10F-0247L (208) 756-5279,2011-05-23T00:00:00,2012-09-30T00:00:00,0,0, ,Success,Added successfully,
002735.001,2,AG-02NV-D-10-0069 (208) 756-5279,10/18/2019,10/18/2019,0,2207.00, ,Success,Added successfully,
002735.001,3,Final Release (208) 756-5279,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002735.002,0,"AG-02NV-D-10-0069 (208) 756-5279, Bat Surveys II",2012-05-21T00:00:00,2013-03-31T00:00:00,0,40150.00, ,Success,Added successfully,
002737.001,0,"L11PD00883, Limber/Whitebark Pine",2011-07-12T00:00:00,2012-09-30T00:00:00,0,67000.00, ,Success,Added successfully,
002747.001,0,NULL,10/18/2019,10/18/2019,0,71841.00, ,Success,Added successfully,
002748.001,0,NULL,10/18/2019,10/18/2019,0,78691.49, ,Success,Added successfully,
002750.001,0,NULL,10/18/2019,10/18/2019,0,8412.13, ,Success,Added successfully,
002750.001,Final,Closeout Checklist,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002751.001,0,NULL,10/18/2019,10/18/2019,0,13169.64, ,Success,Added successfully,
002752.001,0,NULL,10/18/2019,10/18/2019,0,33252.33, ,Success,Added successfully,
002753,0,There was no mod 3 for this contract.,10/18/2019,10/18/2019,0,234374.25, ,Success,Added successfully,
002753,1,Change LOA,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002753,2,Change PWS,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002753,3,PWS Change,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002753,4,NULL,2012-10-31T00:00:00,2012-12-31T00:00:00,0,93749.70, ,Success,Added successfully,
002753,5,NULL,2012-12-31T00:00:00,2013-01-31T00:00:00,0,45367.45, ,Fail,Duplicate Mod Title,
002754.001,0,NULL,10/18/2019,10/18/2019,0,2848.00, ,Success,Added successfully,
002754.001,1,Closeout Checklist,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002762,0,"Reference proposal attachments for SOW, etc...",2013-04-10T00:00:00,2013-08-25T00:00:00,0,98146.40, ,Success,Added successfully,
002762,1,NULL,10/18/2019,10/18/2019,0,-1164.65, ,Success,Added successfully,
002762,2,Mod 2 - Admin mod to cancel option line item 20.  No change in funding.,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002763,0,NULL,2013-07-19T00:00:00,2014-12-31T00:00:00,0,178086.00, ,Success,Added successfully,
002763,1,"Note that Line 21 is to be billed up to 40 yards at $282/yard.  Line 41 is fixed price at $69,734.",2013-07-19T00:00:00,2014-12-31T00:00:00,0,81014.00, ,Success,Added successfully,
002763,2,POP Extension only,2013-07-09T00:00:00,2017-12-31T00:00:00,0,0, ,Success,Added successfully,
002763,3,NULL,10/18/2019,10/18/2019,0,-11280.00, ,Fail,Duplicate Mod Title,
002764.100.01,0,NULL,2014-05-12T00:00:00,2014-07-12T00:00:00,0,44890.60, ,Success,Added successfully,
002764.100.02,0,NULL,2014-05-21T00:00:00,2014-07-31T00:00:00,0,71952.73, ,Success,Added successfully,
002764.100.02,1,De-obligated funding to match what was billed and paid by the client.  Inactivated project on dashboard.  ,10/18/2019,10/18/2019,0,-32921.88, ,Success,Added successfully,
002764.100.03,0,"Government contract numbers will need to be input once we receive official contract from the BLM.  Final Price $3,828.33.",2014-06-11T00:00:00,2014-07-31T00:00:00,0,3828.33, ,Success,Added successfully,
002764.100.035,0,NULL,2016-08-16T00:00:00,2017-09-30T00:00:00,0,13093.24, ,Success,Added successfully,
002764.100.04,0,NULL,2014-07-01T00:00:00,2014-08-15T00:00:00,0,12361.10, ,Success,Added successfully,
002764.100.05,0,NULL,2014-07-07T00:00:00,2014-12-31T00:00:00,0,86034.67, ,Success,Added successfully,
002764.100.06.pdf,0,NULL,2014-07-14T00:00:00,2014-08-14T00:00:00,0,7785.28, ,Success,Added successfully,
002764.100.06.pdf,1,"Mod 1 reduces the contract by -$7,354.98 to close the contract.",10/18/2019,10/18/2019,0,-7354.98, ,Success,Added successfully,
002764.100.07,0,NULL,2014-07-15T00:00:00,2014-07-30T00:00:00,0,11690.50, ,Success,Added successfully,
002764.100.08,0,NULL,2014-07-10T00:00:00,2014-09-30T00:00:00,0,6990.38, ,Success,Added successfully,
002764.100.09,0,NULL,2014-08-11T00:00:00,2014-09-30T00:00:00,0,5466.62, ,Success,Added successfully,
002764.100.09,1,NULL,10/18/2019,10/18/2019,0,3315.51, ,Fail,Duplicate Mod Title,
