Contract Number,Project Number,GSAR,GQAC,Service Contract Reporting,Warranties
7012806,50056,0,0,0,1
DE-NR 0000567 ,50056,0,0,0,1
NA,50056,0,0,0,1
DE-EM000837,50056,0,0,0,1
W911KB-D-0006 TO 0005,50056,0,0,0,1
,50056,0,0,0,1
EP-S9-14-01,50056,0,0,0,1
I2DH-9-00052,50056,0,0,0,0
,50056,0,0,0,1
W91ZLK-13-D-0014,50056,0,0,1,0
W9128F18D0026 ,50056,0,0,1,1
W912Hn-11-D-0015-0014,50056,0,0,1,0
W91ZLK-13-D-0014,50056,0,0,1,0
HSCG50-14-D-PXA701,50056,0,0,0,1
HSCG50-14-D-PXA701 ,50056,0,0,0,1
HSCG50-14-D-PXA701,50056,0,0,0,1
70Z08718FPJT22600,50056,0,0,0,1
70Z08718FPJT25200,50056,0,0,0,1
70Z08719FPJT55400,50056,0,0,0,1
W912BV-12-d-0007 0005,50056,0,0,1,0
 W9124J-18-D-0007 ,50056,0,0,0,0
W9124J18F0084,50056,0,0,0,0
W9124J-18-D-0007,50056,0,0,1,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
L14PC00105,50056,0,0,0,0
GS10F-111BA,50056,1,0,0,0
GS-10F-111BA,50056,1,1,0,0
GS-10F-111BA,50056,1,0,1,0
GS-10F-111BA,50056,1,0,0,0
GS-10F-111BA,50056,1,1,0,0
GS-10F-111BA,50056,1,1,0,0
GS-10F-111BA,50056,1,1,0,0
GS-10F-111BA,50056,1,1,1,0
GS-10F-111BA,50056,1,0,0,0
GS-10F-111BA,50056,1,1,0,0
GS-10F-111BA,50056,1,0,0,0
GS-10F-111BA,50056,1,0,0,0
GS-10F-111BA,50056,0,0,1,0
GS-10F-111BA,50056,1,0,1,0
GS-10F-111BA,50056,1,0,1,0
GS-10F-111BA,50056,1,0,0,0
GS-10F-111BA,50056,1,0,1,0
W9124A-16-C-0001,50056,0,0,1,0
DE-NE0008517 ,50056,0,0,1,0
DE-NE0008517 ,50056,0,0,1,0
W912DQ-14-D-3011 DO CV01,50056,0,0,1,0
W9124R-17-C-0007,50056,0,0,1,0
AG-4D90-C-17-0017,50056,0,0,0,0
W912PP17C0016,50056,0,0,1,0
AG-4D90-C-17-0028,50056,0,0,1,0
W912DQ-14-D-3011 -002,50056,0,0,1,0
W912DQ14D3011,50056,0,0,1,0
140A1118P0030,50056,0,0,1,0
390927,50056,0,0,0,0
12447U18F0076,50056,0,0,1,0
12447U18F0083,50056,0,0,1,0
12447U18F0089,50056,0,0,1,0
75H70719F05001,50056,0,0,0,0
75H70719F05002,50056,0,0,0,1
75H70719F0503,50056,0,0,0,1
75H70719F05004,50056,0,0,0,1
70B01C18C00000088,50056,0,0,0,0
140P8008P0097,50056,0,0,0,0
140L0618D0013,50056,0,0,0,0
140L0618D0013,50056,0,0,1,0
FA252118C0021,50056,0,0,0,0
140R4018C0028,50056,0,0,0,0
1202NV18D0001,50056,0,0,1,0
140F0119D0003,50056,0,0,1,0
140F0119D0003,50056,0,0,1,0
140F0119D0003,50056,0,0,1,0
12SPEC18F0054,50056,0,0,0,0
W912PP19D0009,50056,0,0,1,0
W912PP19D0009,50056,0,0,1,0
140L1219C0001,50056,0,0,1,0
12FPC419C0004,50056,0,0,1,0
W9128F19P0095,50056,0,0,1,0
25774-YUS-FC3-ak00-00001,50056,0,0,0,1
W912EF-16-D-0001,50056,0,0,0,0
 W912EF-16-D-0001 ,50056,0,0,0,1
W912EF-16-D-0001,50056,0,0,0,0
W912DY-15-D-0080-0002,50056,0,0,0,0
,50056,0,0,1,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
TBD,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC0024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
L17PC00024,50056,0,0,0,0
FA486117DA103,50056,0,0,0,0
120105,50056,0,0,0,1
R17PC00071,50056,0,0,0,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,0,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
l17pc00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC0072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
L17PC00072,50056,0,0,1,0
DE-AC07-05ID14517,50056,0,0,0,1
W9128F-17-C-0038,50056,0,0,0,0
123287,50056,0,0,0,1
7018844,50056,0,0,0,1
4000169113,50056,0,0,0,1
12035518C0001,50056,0,0,1,0
25774-CC-FC3-UA11-00002,50056,0,0,0,1
140R3018C0016,50056,0,0,0,0
15F067-18-C-0005990,50056,0,0,1,1
DE-AC07-05ID14517,50056,0,0,0,1
140P5318C0035,50056,0,0,0,1
,50056,0,0,0,1
25774-CC-FC1-JQ00-00003,50056,0,0,1,1
89303319CEM000041,50056,0,0,1,1
75D30119C05135,50056,0,0,0,1
W912DY-19-C-0022,50056,0,0,0,1
DE-EM0002038 ,50056,0,0,1,0
 DE-EM0002038 ,50056,0,0,0,0
W912P9-14-D-0525,50056,0,0,0,0
W912P9-14-D-0525,50056,0,0,0,0
W91238-14-C-0036,50056,0,0,0,0
N00189-14-D-Z043 DO 0007,50056,0,0,0,0
N00189-18-F-Z142,50056,0,0,1,0
N00189-1 4-D-Z043,50056,0,0,0,0
N00189-14-D-Z043/N0018919FZ103,50056,0,0,1,0
DE-EM0003760,50056,0,0,0,0
,50056,0,0,0,1
DE-0003836/1087-15-502677,50056,0,0,1,0
DE-EM0003836/1087-15-502677,50056,0,0,0,0
DE-EM0003836/89303318FEM400055,50056,0,0,0,0
DE-EM0003836/89303318FEM400053,50056,0,0,0,0
 DE-EM0003836/89303319FEM400070,50056,0,0,1,0
 DE-EM0003836/89303319FEM400074,50056,0,0,1,0
N66001-15-C-0114,50056,0,0,0,0
W912Dy-14-D-0005 0005 ,50056,0,0,0,1
W912DY19F0215,50056,0,0,0,1
HSBP1017C00001,50056,0,0,1,0
N00174-17-C-0004,50056,0,0,0,0
DJF-17-1200K-0006320,50056,0,0,0,1
W911S8-18-D-0018,50056,0,0,1,0
W911S8-18-D-0018,50056,0,0,1,0
A16PC00127,50056,0,0,0,0
W911KB-17-C-0013,50056,0,0,1,0
HHSF223201710022C,50056,0,0,0,0
W9123817C0016,50056,0,0,0,0
W911KB17C0044,50056,0,0,0,1
W56ZTN-17-D-0008,50056,0,0,0,0
W56ZTN-17-D-0008,50056,0,0,0,0
N6247318C0201,50056,0,0,1,0
W912DW18C0010,50056,0,0,0,0
70Z08718CPJT93800,50056,0,0,0,1
70Z08718CPJT25800,50056,0,0,0,1
,50056,0,0,0,1
W912P718C0016,50056,0,0,0,0
140R4018C0019,50056,0,0,0,0
W911KB18C0044,50056,0,0,0,1
W912PP18C0038,50056,0,0,0,1
W911KB-17-D-0018,50056,0,0,0,1
SU04-002-S01,50056,0,0,0,1
HHSF223201910094P,50056,0,0,0,0
W9124C119C0010,50056,0,0,1,0
 DE-AC06-05RL14655 ,50056,0,0,0,0
194927,50056,0,0,0,0
67326,50056,0,0,0,0
75N98019D00030,50056,0,0,0,0
75N98019D00030,50056,0,0,0,0
N0018919PZ107,50056,0,0,1,0
N6600119C0021,50056,0,0,1,0
G024-POR,50056,0,0,1,0
W912P4-15-D-00006,50056,0,0,0,0
W912P4-15-D-00006,50056,0,0,0,0
W912P4-15-D-00006 ,50056,0,0,1,0
